vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184950285,45730,15/12/2021 13:21,634,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950279,45729,15/12/2021 13:21,634.5,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950273,45731,15/12/2021 13:21,634,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950266,45727,15/12/2021 13:21,54,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950260,45723,15/12/2021 13:21,636,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950254,45725,15/12/2021 13:21,635.75,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950248,45724,15/12/2021 13:21,636,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950242,45726,15/12/2021 13:21,636,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950231,45722,15/12/2021 13:21,7,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950226,45718,15/12/2021 13:21,2.1784,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950221,45720,15/12/2021 13:21,2.1779,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950216,45719,15/12/2021 13:21,2.1784,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950211,45721,15/12/2021 13:21,2.1779,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950205,45717,15/12/2021 13:21,8,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950199,45713,15/12/2021 13:21,2.1916,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950193,45715,15/12/2021 13:21,2.1908,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950187,45714,15/12/2021 13:21,2.1919,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950181,45716,15/12/2021 13:21,2.1908,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950174,45712,15/12/2021 13:21,46,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950168,45708,15/12/2021 13:21,2.1952,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950162,45710,15/12/2021 13:21,2.1941,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950156,45709,15/12/2021 13:21,2.1956,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950150,45711,15/12/2021 13:21,2.1941,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950143,45692,15/12/2021 13:21,91,15/12/2021 13:20,15/12/2021 13:21,4,2022
184950137,45688,15/12/2021 13:21,72.44,15/12/2021 13:20,15/12/2021 13:21,4,2022
184950131,45690,15/12/2021 13:21,72.41,15/12/2021 13:20,15/12/2021 13:21,4,2022
184950125,45689,15/12/2021 13:21,72.44,15/12/2021 13:20,15/12/2021 13:21,4,2022
184950119,45691,15/12/2021 13:21,72.44,15/12/2021 13:20,15/12/2021 13:21,4,2022
184950112,45687,15/12/2021 13:21,104,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950106,45683,15/12/2021 13:21,72.72,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950100,45685,15/12/2021 13:21,72.69,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950094,45684,15/12/2021 13:21,72.72,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950088,45686,15/12/2021 13:21,72.71,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950077,45682,15/12/2021 13:21,163,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950072,45678,15/12/2021 13:21,72.81,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950067,45680,15/12/2021 13:21,72.76,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950062,45679,15/12/2021 13:21,72.81,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950057,45681,15/12/2021 13:21,72.8,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950051,45707,15/12/2021 13:21,4,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950045,45703,15/12/2021 13:21,69.3,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950039,45705,15/12/2021 13:21,69.27,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950033,45704,15/12/2021 13:21,69.3,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950027,45706,15/12/2021 13:21,69.28,15/12/2021 13:20,15/12/2021 13:21,3,2022
184950020,45702,15/12/2021 13:21,79,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950014,45698,15/12/2021 13:21,69.57,15/12/2021 13:20,15/12/2021 13:21,2,2022
